Name,MFR,Country,Type,Calories,CalFat,TotFat,SatFat,Chol,Na,Carbs,Fiber,Sugars,Protein,Cacao,Price,Review_1_to_5
Noir 86% Cacao,Cote D'Or,Belgium,Dark,460,380,44,26,0,0,28,10,10,8,87.25260913479514,16.99262000620365,3.048688039805694
70% Cocoa,Cote D'Or,Belgium,Dark,600,432,48,30,10,0,42,10,28,8,67.51756747645986,18.106150408275425,3.135256008002148
Solid Dark Chocolate Bar,Godiva,Belgium,Dark,534.883721,302.325581,32.5581395,20.9302326,0,0,60.4651163,9.30232558,46.5116279,6.97674419,83.15337158273906,18.89279972668737,4.410384353279241
72% Extra Dark Chocolate,Godiva,Belgium,Dark,534.883721,348.837209,39.5348837,20.9302326,0,81.3953488,41.8604651,13.9534884,27.9069767,9.30232558,70.53671987294817,17.645378191955388,3.2328586708904576
Extra Dark Chocolate Bar,Guylian,Belgium,Dark,575.757576,333.333333,39.3939394,24.2424242,0,90.9090909,48.4848485,12.1212121,33.3333333,9.09090909,90.95469112508,17.430733697488904,4.130520477139028
Dark Chocolate Bar,Guylian,Belgium,Dark,575.757576,303.030303,33.3333333,0,0,121.212121,57.5757576,9.09090909,18.1818182,6.06060606,71.55729453079402,14.71762403100729,2.8777895770577095
Dark Chocolate - 70% Cacao,Nacional De Chocolates,Colombia,Dark,571.428571,334.285714,37.1428571,22.8571429,0,0,48.5714286,11.4285714,28.5714286,7.14285714,71.11467607129693,5.454840199649333,3.3295338772704355
Dark Chocolate - 65% cacao,Nacional De Chocolates,Colombia,Dark,585.714286,360,40,22.8571429,0,0,50,10,34.2857143,5.71428571,67.81467903172525,3.631291330978274,3.4637427385899033
Dark Chocolate,Merci,France,Dark,578.947368,342.105263,36.8421053,21.0526316,26.3157895,39.4736842,52.6315789,0,44.7368421,7.89473684,72.43223830591887,6.630469474196434,4.034316871695859
Noir 76% Cocoa,Poulain,France,Dark,600,372,42,26,0,8,4,8,24,10,75.02764785006701,6.477032536268234,3.2659344691162597
Ultime Noir 86% Cocoa,Poulain,France,Dark,640,450,50,30,0,8,34,10,16,10,85.3857738653957,7.017049390822649,3.2755159441185135
Dark Chocolate Bar 86%,Poulain,France,Dark,640,450,50,30,0,8,34,10,16,10,86.32699231962287,4.021281230449676,3.318892436689753
Noir Cafe 64% Cocoa,Poulain,France,Dark,580,348,40,24,10,20,48,6,32,8,64.26119951728244,5.725889804586768,3.243761229272351
Extra Dark Chocolate,President's Choice,France,Dark,605.263158,378.947368,42.1052632,26.3157895,0,0,44.7368421,10.5263158,28.9473684,10.5263158,66.92616631044075,6.333813624456525,3.2033148671050453
Fair Trade Dark Chocolate - Peru,President's Choice,France,Dark,575,360,40,25,0,0,47.5,10,32.5,7.5,78.87331782840192,5.18751019500196,3.748327002277226
European Dark Chocolate,President's Choice,France,Dark,600,378,42,24,0,50,48,12,30,8,69.43361145677045,7.908252933248877,3.3228733232891985
Fine Extra Dark,Ritter Sport,German,Dark,558,279,44.6,28.46,0.01,48,31,5.5398740691954,29.04,8.3,69.33918660506606,5.654005935788154,3.289487828607148
Dark Chocolate,Ritter Sport,German,Dark,506.666667,293.333333,32,0,0.13333333,13.3333333,58.6666667,8,48,5.33333333,65.145101363305,6.420467513054609,3.92941265981145
Dark Chocolate Bar,Choceur,Switzerland,Dark,558.139535,348.837209,39.5348837,25.5813953,34.8837209,34.8837209,46.5116279,4.65116279,39.5348837,6.97674419,57.94383456232026,12.14951154962182,3.3195326243054075
Dark Chocolate (Chili),Lindt,Switzerland,Dark,500,292.5,32.5,20,0,37.5,50,7.5,47.5,5,77.90059691760689,19.28642101213336,4.276316976653932
"Excellence, Fine Dark",Lindt,Switzerland,Dark,539.795918,422.44898,46.9387755,28.5714286,0,40.8163265,19.3877551,2.04081633,13.2653061,11.2244898,97.93326198123395,21.360418386757374,3.5173804679152294
Dark Chocolate Bar,Lindt,Switzerland,Dark,400,315,35,20,0,50,55,0,2.5,7.5,83.02650166442618,15.740662056952715,2.605437443470767
"Swiss, 70% Cocoa",Lindt,Switzerland,Dark,556.122449,392.857143,43.622449,25.7653061,0,51.0204082,33.4183673,5.10204082,28.3163265,7.65306122,72.16317006565868,13.405285511165857,3.3208239155372676
After Eight Dark Milk Chocolate Bar,Nestle,Switzerland,Dark,577.777778,320,35.5555556,22.2222222,11.1111111,44.4444444,57.7777778,6.66666667,48.8888889,4.44444444,80.44636893318966,14.858493015170097,4.435732685734874
Dark Chocolate Bar 86%,Poulain,Switzerland,Dark,640,450,50,30,0,8,34,10,16,10,86.9537720028643,14.432851292192936,3.296649597305486
Dark w/ Honey and Almond Nougat,Toblerone,Switzerland,Dark,484.848485,326.182592344828,30.3030303,18.1818182,15.1515152,0,60.6060606,6.06060606,48.4848485,6.06060606,97.87032089661808,13.28751077875495,5
Dark Chocolate,Bendicks,UK,Dark,560,380,42.4,25.6,0,40,35.2,1.6,27.2,9.6,59.75159532390535,7.80780022367835,2.8886941531623074
Royal Dark,Cadbury,UK,Dark,550,292.5,32.5,20,12.5,0,60,7.5,50,5,78.64748006686568,3.940640030801296,4.4672088891557316
Dark Chocolate Bar,Celtic,UK,Dark,534.285714,348.571429,38.8571429,0,8.224119,0,40.5714286,0,0,5.71428571,52.22003572853282,6.788072496280074,1.523657497588273
Dark Chocolate 85% cocoa,Green & Black's,UK,Dark,700,550,62.5,35,0,0,25,10,12.5,7.5,84.86054596483548,7.609932747110724,3.111518775023896
Dark Chocolate 70% cocoa,Green & Black's,UK,Dark,551,370,41.1,0,0,5,36,5,0,9.3,70.10780440126884,3.913615846261382,2.1252387683714864
Dark,Sainsbury's,UK,Dark,570,425,47,29.5,0,0,29,9.5,26,6.5,57.22445577848703,5.598743794485927,2.765028537693885
85% Cocoa Dark French Chocolate,Thorntons,UK,Dark,559,451,50.1,31.5,0,0,16.3,0,10.5,9.8,85.89285734647106,5.6092615339905025,3.071376003509474
85% Cocoa Dark French Chocolate,Thorntons,UK,Dark,559,451,50.1,31.5,0,0,16.3,0,10.5,9.8,85.23711834195112,3.6899454731494186,3.0576668353858025
73% Dark Chocolate Bar,Chocolove,US,Dark,610,390,43.3333333,26.6666667,0,6.66666667,46.6666667,10,26.6666667,6.66666667,73.35080630494056,6.543355404399335,3.3202734300003938
Dark Chocolate Bar 59%,Dagoba,US,Dark,473.684211,298.245614,35.0877193,21.0839663917647,0,0,52.6315789,8.77192982,40.3508772,5.26315789,58.98967708273376,3.9219707045704126,3.4215467286770087
71% Silky Smooth Dark Chocolate Large Bar,Dove,US,Dark,571.428571,400,45.7142857,28.5714286,0,0,40,8.57142857,25.7142857,5.71428571,72.0999555021703,3.1903599621728063,3.2536041598213656
63% Silky Smooth Dark Chocolate Large Bar,Dove,US,Dark,514.285714,342.857143,37.1428571,22.8571429,0,0,48.5714286,8.57142857,34.2857143,5.71428571,64.21909020809024,4.757016564719379,3.340561861493566
Rich Dark Chocolate Bar,Dove,US,Dark,514.905149,298.102981,32.5203252,18.9701897,13.5501355,0,59.6205962,8.1300813,46.0704607,5.4200542,88.77238550921902,3.05083361081779,4.642740756741313
Promises Silky Smooth Dark Chocolate,Dove,US,Dark,600,342.857143,40,20,8.15444543689655,28.5714286,60,5.71428571,48.5714286,8.57142857,54.775165021419525,6.8627771297469735,3.6092561985938527
Dark Chocolate Large Tablet Bar,Dove,US,Dark,515.151515,300,33.3333333,21.0839663917647,15.1515152,0,60.6060606,9.09090909,45.4545455,6.06060606,88.19448333233595,6.6571237705647945,4.583443939619875
"Chocollate, 100% Cacao",Ghiradelli,US,Dark,511.627907,488.372093,53.4883721,32.5581395,0,0,32.5581395,16.2790698,0,11.627907,98.28359292309251,5.585300538688898,3.047267049280988
Intense Dark 72% Cacao,Ghiradelli,US,Dark,511.627907,395.348837,44.1860465,25.5813953,0,0,46.5116279,9.30232558,27.9069767,6.97674419,72.43073186016814,5.401179261505604,3.345760993430438
Cacao Reserve by Hershey's Ultra-Thin Squares,Hershey's,US,Dark,450,337.5,37.5,22.5,0,0,50,12.5,32.5,7.5,98.77834343351424,3.420852988027036,4.411849160440065
65% Cacao Premium Dark,Hershey's,US,Dark,575,350,37.5,22.5,0,0,52.5,10,37.4140040525287,7.5,64.59355735582862,3.3001032415777445,3.4878309135739047
Special Dark,Hershey's,US,Dark,439.02439,263.414634,29.2682927,19.5121951,4.87804878,36.5853659,60.9756098,7.31707317,51.2195122,4.87804878,50.09921193122864,6.364335190504789,3.566280147293662
Bliss Dark Chocolate,Hershey's,US,Dark,465.116279,293.023256,32.5581395,20.9302326,11.627907,23.255814,58.1395349,6.97674419,46.5116279,6.97674419,77.3302108165808,4.388660785742104,4.2781753794008175
Rich Dark Chocolate Kisses,Hershey's,US,Dark,560.97561,285.365854,31.7073171,19.5121951,12.195122,60.9756098,60.9756098,7.31707317,51.2195122,4.87804878,57.56347021088004,4.821827771142125,3.818723387521432
Pure Dark Chocolate,Hershey's,US,Dark,567.567568,316.216216,35.1351351,21.0839663917647,13.5135135,13.5135135,54.0540541,10.8108108,37.8378378,8.10810811,69.2050326266326,5.872624756768346,3.6467299422683745
Dark Chocolate Bar,Mars,US,Dark,460,162,18,12,10,90,72,2,52,4,79.18925866251811,3.1947584580630064,4.570566030129362
Dark Chocolate Candy Bar,Meijer,US,Dark,537.5,325,35,22.5,0,0,50,5,45,5,80.54949474753812,4.438919071108103,4.321808278844133
82% Extra Dark,Scharffen Berger,US,Dark,604.651163,395.348837,44.1860465,27.9069767,0,0,41.8604651,2.3255814,20.9302326,9.30232558,83.59152355846344,6.850058170966804,3.4202289652946707
Dark Chocolate Bar 60%,Scharffen Berger,US,Dark,744.186047,418.604651,46.5116279,27.9069767,0,0,74.4186047,0,53.4883721,9.30232558,60.025268278347845,3.3256430169567466,3.9995529501528715
Dark Milk Chocolate,Scharffen Berger,US,Dark,511.627907,372.093023,44.1860465,27.9069767,11.627907,69.7674419,37.2093023,9.30232558,23.255814,11.627907,88.24711425695568,6.622151047922671,3.6704957521324055
Dark Chocolate Bar,Starbucks,US,Dark,488.372093,325.581395,39.5348837,23.255814,11.627907,0,51.1627907,6.97674419,39.5348837,6.97674419,52.36586157698184,3.5528669776394963,3.171061901232886
Dark Chocolate,Trader Joe's,US,Dark,460,260,32,18,10,0,56,6,46,6,69.65043079108,4.544808794744313,4.0032553833294875
Alpine Milk Chocolate,Milka,Austria,Milk,530,265,29.5,17.6,0,0,58.5,0,57.5,6.6,30.5629309678101,23.22468849015422,3.1115365957307994
Chocolate Confection Alpine Milk,Milka,Austria,Milk,545.454545,272.727273,30.3030303,18.1818182,15.1515152,90.9090909,60.6060606,3.03030303,57.5757576,6.06060606,44.10892271236517,14.096819702535868,3.598868229155064
Milk Chocolate,Cote D'Or,Belgium,Milk,540,288,32,18,20,120,58,2,54,8,25.98933820600389,26.101731264498085,2.8046571394332154
Solid Milk Chocolate Bar,Godiva,Belgium,Milk,511.627907,279.069767,30.2325581,18.6046512,0,93.0232558,55.8139535,2.3255814,53.4883721,6.97674419,18.493724831887523,28.170103474985808,2.527928438481541
Milk Chocolate Bar,Guylian,Belgium,Milk,575.757576,333.333333,36.3636364,24.2424242,30.3030303,90.9090909,54.5454545,3.03030303,51.5151515,6.06060606,30.52262456456199,16.372481561265886,2.8918058470923325
Jet Milk Chocolate,Jet,Colombia,Milk,560,324,36,18,0,80,56,2,50,6,6.625924722035416,9.476903911214322,2.069940775598598
Lait Volupte 33 % Cocoa,Poulain,France,Milk,580,330,36,22,30,110,54,0,50,6,32.29131163872881,11.895949815865606,2.906124594503218
Milk Chocolate,President's Choice,France,Milk,552.631579,307.894737,34.2105263,21.0526316,13.1578947,78.9473684,57.8947368,7.89473684,47.3684211,7.89473684,4.943182530722115,8.607305022887886,1.9095972691489276
European Rich Milk Chocolate,President's Choice,France,Milk,560,288,32,20,20,80,58,4,50,8,3.436732493916061,11.623547730501741,1.9559509543802533
Milk Chocolate,Ritter Sport,German,Milk,531,265,30.5,19.91,10.67,99.4,57,2.8,56.43,7.1,8.385957561631221,11.74392999149859,2.383609512417909
Alpine Milk Chocolate,Ritter Sport,German,Milk,538,291,31.4,20.71,13.45,80.7,55.6,2.7,53.31,8.3,41.169971332671125,9.605065285228193,3.344690595471605
Milk Chocolate,Choceur,Switzerland,Milk,575.757576,333.333333,36.3636364,24.2424242,15.1515152,60.6060606,54.5454545,0,45.4545455,9.09090909,20.945173415029423,20.42195162270218,2.3095996969771257
"Swiss, Milk Gold",Lindt,Switzerland,Milk,543.367347,278.061224,30.8673469,20.4081633,12.755102,191.326531,58.9285714,2.55102041,56.377551,7.65306122,27.705319586275145,20.22806374821812,2.9834173440463325
Crunch,Nestle,Switzerland,Milk,501.138952,227.790433,25.0569476,15.9453303,11.3895216,136.67426,68.3371298,2.27790433,54.6697039,4.55580866,42.448501118873246,36.53622454032302,3.3318910074383923
Classic Milk Chocolate Bar,Nestle,Switzerland,Milk,501.138952,234.624146,27.3348519,15.9453303,11.3895216,148.063781,68.3371298,2.27790433,54.6697039,4.55580866,20.53310834474629,26.504948339425027,2.650710005244573
Mirage Chocolate Bar,Nestle,Switzerland,Milk,524.390244,241.463415,26.8292683,17.0731707,24.3902439,48.7804878,60.9756098,2.43902439,58.5365854,7.31707317,14.235591267971325,28.519316371530294,2.594145340232459
Aero Chocolate Bar,Nestle,Switzerland,Milk,585.365854,0,31.7073171,19.5121951,24.3902439,109.756098,70.7317073,0,70.7317073,4.87804878,49.01316650085617,31.732324599288404,4.230044361624662
Milk w/ Honey and Almond Nougat,Toblerone,Switzerland,Milk,525,250,27.5,15,25,50,65,2.5,55,5,11.328650045085231,20.296726999804378,2.386447876836834
Dairy Milk,Cadbury,UK,Milk,550,270,30,20,25,112.5,60,2.5,52.5,7.5,10.090801682807506,9.938223004806787,2.285298923584988
Fine Milk Chocolate,Celtic,UK,Milk,497.142857,328.571429,36.5714286,0,8.224119,0,51.1428571,0,0,6.85714286,22.654243691749873,11.812665169592947,0.5282067965669147
Milk Chocolate with Sweetener,Celtic,UK,Milk,497.142857,328.571429,36.5714286,23.1428571,8.224119,66.5714286,51.1428571,1.71428571,8.57142857,6.85714286,34.79835470563034,10.928309170994908,1.2854615500243431
Milk Chocolate,Green & Black's,UK,Milk,522.857143,265.714286,29.7142857,0,0,0,54,0,0,10,6.494587067791727,10.70734702795744,0
Belgian Milk,Sainsbury's,UK,Milk,270,147.5,16.5,22.25,0,0,25,1,47.75,4.5,38.56130442823516,8.817468463908881,3.0328000973439337
Milk Chocolate,Thorntons,UK,Milk,546.666667,310,34.6666667,21.6666667,0,40.6338540272414,52,2.33333333,50.6666667,7,42.836075101268946,9.199573396705091,3.2923569554432985
Milk Chocolate Large Tablet Bar,Dove,US,Milk,514.285714,282.857143,31.4285714,17.1428571,14.2857143,57.1428571,57.1428571,2.85714286,51.4285714,5.71428571,2.970222892989405,6.009397589368746,2.0225796993165894
Promises Silky Smooth Milk Chocolate,Dove,US,Milk,628.571429,314.285714,37.1428571,22.8571429,14.2857143,71.4285714,68.5714286,2.85714286,62.8571429,5.71428571,20.00274289496476,8.380730426870286,3.045326840231977
Silky Smooth Milk Chocolate - Extra Creamy,Dove,US,Milk,515.151515,272.727273,30.3030303,18.1818182,15.1515152,30.3030303,60.6060606,6.06060606,48.4848485,6.06060606,3.720251743348781,6.368930257158354,1.9245122920306692
Milk Chocolate Square,Ghiradelli,US,Milk,475,250,27.5,15,12.5,37.5,62.5,5,52.5,5,2.102879276373424,5.404504239559174,2.040631803474903
Symphony Milk Chocolate Bar,Hershey's,US,Milk,530.952381,276.190476,30.4761905,18.3333333,23.8095238,100,58.0952381,1.66666667,54.047619,8.57142857,6.647848221517634,8.369408881990239,2.24203325603116
35% Cacao Premium Milk,Hershey's,US,Milk,550,325,37.5,22.5,25,75,52.5,2.5,50,7.5,35.484183580342275,9.348043299978599,3.0218893665423874
41% Cacao Milk Chocolate,Scharffen Berger,US,Milk,465.116279,302.325581,32.5581395,20.9302326,23.255814,116.27907,48.8372093,4.65116279,41.8604651,7.23332675712644,42.01652738539329,7.687963901553303,2.9086564331087867
Milk Chocolate,Trader Joe's,US,Milk,520,280,32,18,20,70,58,0,54,6,40.047641230209265,5.687829399248585,3.352267592817258
